INR,GBP,EUR,JPY,CNY,CHF,CAD,BTC,XRP,ETH
-0.0012910808,-0.0005671166,-0.0013746447,0.0026917919,-0.0014745778,0.0006716934,-0.0025837956,-0.0031550548,-0.0125150851,-0.0068539918
-0.0026866504,0.0050297175,0.0004824876,-0.0018707828,-0.001166679,0.0025874837,0.0009077573,-0.0020907076,-0.0078096019,-0.0102293115
0.0004025106,-0.000539287,0.0006317553,-0.0004298605,0.0008036231,0.0015096644,0.0011404094,0.0105682338,0.0163266992,0.0112083176
-0.0024206838,0.0011805612,0.0020502331,0.0008202706,-0.0008930066,0.0011509187,0.0015047754,0.0128276709,0.0212708252,0.0211968384
0.0012120268,0.0004393128,0,-0.0002342051,0.0003446631,0.0003976853,0.0006337876,-0.0015832139,-0.0065697015,-0.0051310712
0,0,0,0,0,0,0,0.0023932051,0.0005846937,-0.0059209118
0.0008371212,0.0011171786,0.0031500645,0.0002732258,0.0044874777,0.0012789591,0.0017630607,0.0110820389,0.0005455376,0.0086362912
-0.0014582519,-0.0033429511,-0.0021774838,-0.0028971318,-0.0022728538,-0.0014114804,-0.0028310258,0.0116181992,0.009965953,0.0086829984
-6.21616222171027E-05,0.0003365059,0.0009747635,-0.0009831485,0.0003426389,0.001014965,0.0013012328,-0.0084059621,-0.0228345877,-0.0169486916
-0.0002487365,0.0034812694,0.0033911766,-0.0009459137,0.0006718017,0.0027242357,0.0003663106,0.0152248851,0.03118362,0.0162424954
-0.0001555323,0.0017681917,0.001591657,0.0016146979,0.0012520985,0.0016612855,0.0004325145,-0.0156268793,-0.0399231613,-0.0439061025
0.0018937074,-0.0002043899,0,7.86093496919887E-05,-6.31456726573885E-06,0.0002617283,0,0.0063342691,0.0174343375,0.0069696676
0,0,0,0,0,0,0,-0.0128612381,-0.0483803236,-0.0322383369
-6.19583414073377E-05,0.0011253367,0.0023603019,0.0015301082,0.0003156209,0.0003922969,0.0030816432,0.0181390687,0.1039414099,0.044260322
-0.0010546412,0.0007176446,0.0012232579,-0.0005486505,0.0032877206,-0.0013964465,-0.0003633573,0.0030301102,0.0149253635,0.0085020577
0.0002483818,-0.0009224683,3.8282381963429E-05,0.0016048065,-0.0031804615,0.0002621759,-0.0028513214,0.0056539846,0.0121263394,0.0045482779
0.0003723056,-0.001465083,-0.0024813623,-0.0016832379,0.0004476776,-0.0003496031,0.0025868705,-0.0043915401,-0.003890202,-0.0088354025
-0.0057754868,0.0002721996,-7.61252380394553E-05,-0.0003923911,-0.0027881432,0.0004806318,0.0005287408,-0.0042856764,-0.0313415531,-0.0366083202
-0.0012904353,-0.0003062126,0,0.0012152493,0,0.0003928489,-0.0001651624,0.0056214758,-0.0040985291,0
0,0,0,0,0,0,0,0.0060271408,-0.0299457405,-0.0306026953
-0.0008203184,-0.0018666224,-0.0043925878,0.0005477109,-0.0016649639,-0.0008297649,-0.0031500788,-0.0262042377,-0.0329823501,-0.0399411333
-0.0006320666,-0.0019260709,-0.0031533319,-0.0003911486,0.0009349451,-0.000087436,-0.0008994711,0.0169490043,0.0174489524,0.0095912509
-0.000189802,-0.0019511326,0.0004490766,0.0016014792,-0.0002478507,0.0009172009,0.0009992975,-0.0294972694,-0.0583739072,-0.026497747
0.0012637716,-0.0001342383,0.0016881853,7.7969860342213E-05,0.0013772731,0.0005232464,-0.0016333771,-0.0140392294,-0.0378191469,-0.0299785446
-0.0019921079,-0.0019752106,-0.0004883724,-0.0006631918,-0.001224733,-0.0008724279,0.0003338416,-0.005254968,-0.0206743297,-0.0041201073
0.000190118,-0.0002003665,0,0.000117107,-6.35518030901402E-05,-0.0001310155,-0.0008016513,0.0007795586,0.0050111264,0.0020231477
0,0,0,0,0,0,0,-0.0244876811,-0.0128396861,-0.0112829261
0.0005065778,-0.000333739,-0.0006378133,0.0015195342,0.0006097145,0.0003492869,0.0011018895,-0.0066908786,0.0110484029,0.0071191395
-0.0017438383,-0.0035881327,-0.0028400016,0.0002333058,-0.0012775713,-0.0013112766,-0.000600684,-0.0042213848,-0.0159825081,-0.0094526956
0.0006983763,-3.30852891328223E-05,-0.0011531101,0.0006215314,-0.0006370106,-0.0007886706,6.67836946642108E-05,-0.0068970337,0.0100842939,-0.0123588485
0.0009188723,-0.000198459,-0.0005568593,-0.003155685,0.0001465952,-0.0008779837,0.0009672116,-0.0245188639,-0.0101329636,-0.024024166
0.0001265896,0.0007612526,0.0017844688,-0.000508613,-0.000082852,0.0025412784,0.0009650623,-0.0021925819,-0.0081382578,-0.0090744096
-0.0001265896,0.0001988073,0,0.0004304036,0,0.0001747137,-0.0003990761,-0.0013397487,-0.0032073876,-0.002183673
0,0,0,0,0,0,0,0.0032085728,0.0029781832,-0.0010553717
0.0003480321,-0.000165679,0.0005591536,0.0006643284,-0.0013405738,-0.0001310287,0.0006981427,0.0132900221,0.004674781,0.0071411383
0.0004425435,-0.0026423048,-0.0031590599,-0.0009773047,-0.0014730111,-0.0010058685,-0.0009311065,-0.0127750808,-0.0096114012,-0.0086088341
0.0013753307,0.0014512778,0.0015580754,0.0008991974,0.0013962819,0.0007436926,0.0035804633,-0.0114539507,0.0010112294,-0.0074824292
-0.0006492695,0.0014229953,-0.0002229247,0.0005464326,9.59095146053017E-05,-0.0004810674,0.0006268543,0.0363887844,0.0125167787,0.0279061586
-0.0006439237,-0.0014560329,-0.001038805,-0.0010935483,-0.0021663174,-0.0006568609,-0.0017508568,0.0183449861,-0.0021856351,-0.0076781864
-1.89543389230134E-05,0.000396616,0,0.0013665024,0.0007511025,0.0007006164,0.0009919178,-0.0001642855,-0.0070068395,-0.0032051399
0,0,0,0,0,0,0,0.004137741,0.0100503019,0.0116470529
0.0017654297,0.0039862096,0.0028627143,0.0041125229,0.0002693101,0.0028781545,0.0039451701,-0.0082364314,-0.0296339398,-0.0187570677
-0.0024925988,-0.0018315556,0.0001492293,0.00150335,-0.0035722883,-0.0001304122,-0.0032521731,0.005502987,-0.0093677554,-0.0095050251
-0.0012358167,-0.0015259369,-0.0008201272,3.8478067460117E-05,-0.0008474927,0.0005648371,0.0006260458,0.003521837,-0.0175510525,-0.0177991158
0.0007609199,-0.0039884636,-0.0018210997,-0.0021987665,-0.0009984084,-0.0014788209,-0.0018147184,0.0365357787,0.0221240314,0.0180439753
-0.0003359089,0.0002625722,0.0009281783,0.0003865526,0.0002919803,0.002389701,0.0007267976,0.0253812531,0.0332301779,0.0272631657
1.9021204092522E-05,-0.0002297594,0,-7.72814373201485E-05,-0.0002530382,-0.0002600566,0.0001320144,0.0066952171,0.0080435387,0.0156161462
0,0,0,0,0,0,0,0.0020965813,0.0003173218,0.0012835312
0.0001267827,0.0009526527,0.0004834379,0.0006950557,-0.0015604112,0.0003033842,-0.0002310516,-0.00202014,0.0005658043,0.0015593712
0.0013289878,3.28873940487391E-05,-7.44101259541712E-05,-0.0020885136,0.0008784211,-0.0028253256,0.0017134554,-0.0088603715,-0.0110912258,-0.014548863
0.0001579422,-0.0023288382,-0.0025963536,-0.0039725904,-0.0033474946,-0.0017040602,-0.0031354755,0.0052269556,0.0067622795,0.0127585775
-0.0006004856,0.0005564732,-0.0002587837,-0.0005872808,-0.0009049171,-0.0001751541,-3.31257209465774E-05,-0.0244669718,-0.0294640075,-0.0372864166
0.0006636469,-0.0011775711,0.0001478575,-0.001609299,0.0016052603,-0.001008509,-0.0004640253,-0.0026173939,-0.0047523281,-0.0133427471
0.0002525518,0.0003267829,0,7.86384527716216E-05,0.0001961552,0.0002633152,-0.0004645216,-0.0035275919,-0.0073810345,0.0003395718
0,0,0,0,0,0,0,0.0103738001,0.0084822313,0.0144332792
0.0004731404,0.0019002052,0.0020753082,0.0006286167,-0.0004251151,0.0014453866,0.0016897995,0.0040910689,-0.0019093895,0.0022051096
-0.0011996213,-0.0001969589,0.0013021218,-0.0005893017,-0.0003011024,-0.0001749424,0.0003305636,-0.0032943853,-0.0101326525,0.000334523
-0.0008860572,0.0013147501,-3.72577087607266E-05,0.0004715051,0.0006543042,-0.0001312531,-0.0001321952,0.005972058,0.0048395568,0.0048985669
0.0010756909,0.0016490545,0.0005965072,0.0011765261,0.0016640282,0.0004810674,0.0015507587,-0.0053983314,-0.0045558433,-0.0135408415
-0.0017414231,-0.0021754323,-0.0016384275,-0.0006270818,-0.0027900429,-0.0014448038,-0.001253376,0.015558481,0.0271356529,0.0230454222
0.000095167,0,0,-0.0001961509,-0.0002819603,0.0001753839,-0.0005288214,-0.0028495863,-0.0073392028,-0.0014102819
0,0,0,0,0,0,0,0.0126440893,0.0130600636,0.0177618928
0.0024039667,0.0043286072,0.0043328957,-0.0007068754,0.0003933825,0.0029272009,0.0037538767,0.0258028378,0.0062725182,0.014745622
-0.0012635883,-0.0011607282,0.0005634579,-0.0009442898,-0.0014638746,-8.70940541522496E-05,0.0030385218,-0.0205241798,-0.0220992401,-0.0211834004
-0.0017116945,-0.003792125,-0.0034817123,-0.0007884768,-0.0016734062,-0.0028839462,-0.0009452171,0.0038836249,0.0187927078,0.0121325045
-0.0016228185,-0.001605769,-0.0021202377,-0.0011062806,-0.0026019415,-0.0015811709,-0.0004897138,-0.0118472758,-0.0265900441,-0.0285982869
-0.0015969066,0.0004909316,0.0017475167,0.0006325028,-0.002310419,0.0003958327,-0.0005229708,0.006909838,0.0046267864,0.0033923861
3.19945488497426E-05,-0.0002618993,0,0.0001184939,3.33789482806297E-05,4.39591682485094E-05,-0.0002289979,-0.000282468,-0.0114758366,-0.0176932779
0,0,0,0,0,0,0,0.0077924804,0.0040136421,0.0111508778
0.0004796554,0.0005894957,0.0020165042,0.0001184594,-0.0008419281,0.0016671594,0.0013721796,-0.0457251469,-0.0429021511,-0.0560034475
0.0007344409,0.0025967354,0.0011618673,0.001419006,-0.0013062105,0.0018788361,-6.52436619850394E-05,-0.0030233998,-0.0059762896,-0.0084986085
0.0015923394,-0.0002307185,-0.000675011,-0.0011821815,0.0007708045,-0.0008728663,-0.000914442,0.0014736149,-0.0072260459,-0.0018509708
-0.001719979,-0.0021037618,-0.0012348018,0.0019292371,-0.0030779709,0.0004366525,-0.0027549358,0.0018280399,0.0076042076,0.0171259427
0.0001276396,-0.0010480717,0.0005234266,0.0003534202,-0.0003643468,0.0011767733,-6.58071798155524E-05,0.018074947,0.0122452659,0.0178903056
0,-0.000294315,0,0.0001177441,0.0003643468,-8.70591388349362E-05,0.0001316044,-0.0033744571,-0.0073396693,-0.0004194563
0,0,0,0,0,0,0,0.0068093468,4.88483595937064E-05,0.0085650607
-0.0023674309,0.0007525351,0.0014989901,-0.0001569995,-0.002550085,-0.0002612821,-0.0032689874,-0.0165949257,-0.0201252913,-0.027877811
-0.0002888127,-0.0037172365,-0.0082548183,-0.0011399314,-0.0002307189,-0.0049944635,-0.0038953425,0.022746295,0.02439627,0.037980758
-0.0010606279,0.0001298922,0.0016976183,0.0001574124,0.000305337,0.000528446,0.0009687739,-0.0168271218,-0.0222533716,-0.0163120611
-6.43633496474905E-05,-9.74228052130046E-05,-0.0014397127,-0.0013792778,-7.46181420379932E-05,-0.000660658,-0.0012698678,-0.021328646,-0.0326659468,-0.0310245432
0.0003217245,-0.0012321339,0.0005900741,-0.0022556727,0.0003390701,-0.0001763453,-0.0002678144,0.0073920996,0.0147984677,0.0052730149
6.43142689925215E-05,3.23798956714454E-05,0,0.0003569422,-0.000006779,0.0001322657,-0.0014423386,-0.045206987,-0.0553148683,-0.0533887333
0,0,0,0,0,0,0,-0.0066954233,-0.0099375668,-0.0044925031
-0.0007079995,-0.0003236898,-0.0011425414,0.000594243,-0.0009840489,-0.0020768051,0.0015427884,-0.0041886018,-0.002232716,-0.0035277896
-0.0037523073,0.0002913099,0.0009580571,0.0018567219,-0.0002514596,0.0025614351,-0.0009384357,0.0019757547,0.0013498396,-0.0013343713
0.0016860766,0.0005183672,0.0020336504,-0.0014610074,0.0012016129,-0.0007933126,0.0009049551,0.0018366075,0.0015736727,-0.001380269
-0.0001942115,0.0027316254,0.0007047527,3.95521830957331E-05,0.0002643158,0.0014972649,-0.0014085239,0.0076686154,0.0085345312,0.0122526136
-0.0008750386,-0.001302917,0.0014129456,-0.0007917168,0.0007040564,0.0003954723,0.0009395233,-0.0131215392,-0.0194512435,-0.0199034887
0.0003891213,0.000162651,0,-0.0002377929,0,-0.0003075585,-0.0002682279,0.0045194343,0.0305162445,0.0204767469
0,0,0,0,0,0,0,0.0067097513,0.0140827473,0.008555901
0.0028107689,0.001564557,-0.0011530113,-0.002903661,-0.0006837312,-0.0010120854,0.0003017447,0.0020373689,0.0067552027,0.0013371701
6.44013394165891E-05,0.0002613084,0.0010785311,0.0003590355,0.0005890209,0.0014952938,-0.0028582063,0.0064703064,0.009267728,0.0154001449
0.0025682801,0.0012433664,0.0046044668,-0.0005586297,-9.47311638094937E-05,0.0009209985,0.0048644979,-0.0049709141,0.0001594114,-0.0073201558
-0.0028259452,-0.0019615863,-0.003112429,0.0025875798,-0.0012401742,0.0010501837,-0.0008682553,0.0216089511,0.0388274842,0.043973498
0.0021340034,0.0001631275,-0.0010822382,-0.0001190843,-0.0020066739,-0.0017078403,-0.0006690719,-0.0145484327,-0.0419183042,-0.0463050706
-1.28220854776157E-05,0,0,0,0.0014973809,0,0,0.0005565601,-0.0030761235,-0.0121192338
0,0,0,0,0,0,0,-0.0075006301,0.0002573004,0.0007346273
0.0038938968,-0.0013033079,-0.0025271357,0.002730798,-0.0009182354,0.0007890686,-0.0030236451,-0.0068577126,-0.0142482803,-0.013036836
0.0001906062,0,0.0008531218,0,0.0006939571,0.0017483698,-0.0017227899,0.0047200435,0.0261417444,0.0188385804
-0.0022289529,-0.0028212621,-0.0030339319,0.0031839619,-0.0014299456,-0.0012231194,-0.0004063575,-0.0270958766,-0.0337950712,-0.0455662719
0.0006061344,0.0001616461,-0.0004422176,0.0006652853,0.0010899091,0.0019205014,-0.0010854823,-0.0220819958,-0.0232857061,-0.0363148992
-0.0007977198,-0.0013881939,0.0004790893,-0.0012139358,-0.0002381839,0.0002612298,0.0032146297,-0.0066902353,-0.0153867947,-0.0113326321
0,0,0,0,0,0,0,0.0151069674,0.0138111535,0.0117567052
0,0,0,0,0,0,0,-0.0003533143,0.0011248744,0.0015501381
-0.0014395987,-0.0013837708,-0.0006263952,7.84214347369413E-05,-0.000879008,0.0016074541,-0.0025358853,0.009981524,0.0096381519,0.0160668537
6.40825916483884E-05,0.0009327566,-0.0004416181,-0.0014924237,0.0003000168,-0.0001301127,-0.0006787444,-0.015069937,-0.0286715031,-0.0242239359
0.0019500233,-0.0005791881,-0.0011387724,-0.0001573931,0.0004223992,4.33752430092203E-05,0.0029448396,-0.0067922895,0.0081395096,0.0006641906
-0.0033299079,-0.0016048148,-0.0032528836,-0.0027240974,-0.0026296329,-0.0003037176,-0.0020626786,-0.0103039636,-0.0232732527,-0.0131960759
-0.001287562,0.0004166817,-0.0006185755,-0.0010706168,-0.0003495384,0,-0.0006784263,-0.000640641,0.0011318291,-0.0011507655
0,0,0,0,0,0,0,0.0111908644,0.0285658844,0.0281025672
0,0,0,0,0,0,0,0.0025890308,0.0036077872,0.003725901
-0.0007420798,0.0008345646,0.001055748,0,0.0010340921,0.0011703137,-0.0008835415,-0.030224026,-0.0462062563,-0.0284029955
0.0006776028,-0.0009307574,0.0023756963,0.0014269054,0.0009019618,0.0008216677,0.0029494372,-0.0141880869,-0.0253436743,-0.0162914868
-0.0014209532,0,-0.0005127876,-0.0025001734,0.0005661849,-0.0015581641,0.0032314728,0.0062670521,-0.0069767031,0.0020163936
6.46892159086699E-05,-0.0003525248,-0.0021179795,-0.0001194164,-0.000272768,0.0004333844,-0.0023201882,-0.0086746154,-0.0089615164,-0.0026691337
-0.0020748671,0.0007695142,-0.0013820622,0.0001194164,-0.0002729395,-0.0011277003,-0.0011816626,-0.0131790862,-0.0206037435,-0.0213926501
0,0,0,0,0,0,0,-0.0089406191,-0.0182897151,-0.0141573019
0,0,0,0,0,0,0,0.0069622166,0.0061704608,0.0175663628
-0.0009760142,-0.0013777475,-0.0010155546,0.0002785115,-0.0006147417,-0.0010435595,3.38064424714661E-05,-0.0026461726,0.0038302869,0.0036649541
0.0001302623,-6.39750607379975E-05,0.0013424879,0.0025776563,0.0005942643,0.000739447,0.0012489921,0.0240405195,0.0109413398,0.0539750778
0.0007157434,-0.0011499419,-0.0015235873,0.00007907,-0.0019977663,-0.0012621686,-0.0012151882,0.0080391169,0.0120781377,0.010192816
-0.002216125,-0.0050112677,-0.0031031476,-0.0021002447,0,-0.002447721,-0.0002705042,-0.0082083555,0.0040077315,0.0004987982
0.0010442902,-0.0002522036,-0.0018298196,-0.0011136814,0,-0.0012730125,-0.0004060725,-0.0073911954,-0.0213595796,-0.012313849
0,0,0,0,0,0,0,0.0024699191,0.0029820728,0.0039811582
0,0,0,0,0,0,0,0.0202235244,0.031952638,0.0259996167
0.0012043398,-0.0042652024,0.0009677675,0.0010342285,0.0002262362,0.0005272164,0.0013183497,-0.0171454926,-0.0235208464,-0.0120632167
0.0007469648,-0.0004678721,-0.0020762552,0.0004368121,-0.0006790622,-0.0025541627,-0.0008108184,0.0191805082,0.0314258405,0.0296983275
-0.0033224516,-0.001431673,-0.002528184,-0.0023879856,-0.001381977,-0.0019477106,-0.0003382883,-0.0359405069,-0.0680160292,-0.0563727985
0.0007840423,0.001120038,0.0008173787,-0.000439229,0.0007293517,-0.0003550696,0.0005411348,0.0329376956,0.0225261818,0.0381979651
-0.0020939348,-0.0019581749,-0.002801109,-0.004174783,-0.0014185442,-0.0015568519,-0.0030526917,0.0068548466,0.0094482438,0.0156512033
0,0,0,0,0,0,0,-0.0058383611,-0.0012572522,0.0114449327
0,0,0,0,0,0,0,0.0025884079,-0.0305762222,-0.0085203797
-0.0022359229,-0.0026897128,-0.0020450699,-0.0011713123,-0.0012018081,-0.0014283079,-0.0029714732,0.0300801002,0.0736212535,0.0366232658
-0.0009901109,-0.0034382722,-0.0009487403,-0.000607093,-0.0003251975,-0.001163969,-0.001476201,0.0056271948,0.0383309457,0.0329704425
-0.000264411,-0.0025913545,0.0001053133,-0.0009325282,0.0005602953,-0.001212048,-0.0027944533,0.0149538315,0.0376851973,0.0192101755
-0.0013908026,-0.0015171345,-0.0003509451,0.0004462435,-0.0004149642,-0.0027508491,0.0005879829,-0.0090587405,-0.0063664176,-0.0073960678
-0.001428546,0.0029480897,0.001722347,0.000931572,-0.0001038029,0.0010843813,0.0016559028,-0.0157694302,-0.0176111092,-0.0186732784
0,0,0,0,0,0,0,0.0186522793,0.0335869604,0.0262766013
0,0,0,0,0,0,0,0.0064016319,-0.0023262692,0.0068165284
0.0002328746,0.0004271549,0.0001409017,-4.04618185591128E-05,0.0011404708,0.000090243,-0.0009996861,-0.0014405203,0.0013103752,0.0008871132
-0.0001995995,0.001467729,-0.0014069648,-0.0021498793,-0.0015559312,-0.0022163699,-0.0001380685,0.0567328582,0.0727751906,0.0597905466
-0.0020679135,0.0001225349,0.0003864611,0.001623534,0.0009826142,-0.0002721712,0.0007932951,0.0065417662,0.0441385343,0.0151646583
3.3429907898684E-05,0.0013501712,0.0012319421,-0.001745545,0.0016419471,-0.0004085769,0.0032613865,0.0047695328,0.005937486,0.0177331205
-0.000167183,0.0012002619,0.0013415057,0.0006503245,-0.0001239642,0.0014057051,0.0029314393,-0.0163361986,-0.0125455256,-0.0018463544
0,0,0,0,0,0,0,0.0081952441,0.0113980681,0.0174028505
0,0,0,0,0,0,0,0.0181684759,0.0104379214,0.0168258192
-0.0002676279,0.0027515458,0.0015230341,0.0018238333,0,0.0018521975,-0.0011906409,-0.0100532011,-0.01580311,-0.0127227899
0.0010361423,-0.0024432512,-0.0013462112,-0.0024334804,0,-0.0011736476,0.0007147761,-0.0013396545,0.0027677418,0.0030971778
-0.0003005608,0.000709909,0.0002830663,-0.000691974,-0.001055126,-0.000904969,0.0012565123,-0.0379527953,-0.0495586049,-0.0407822849
0.0008677211,0.0004326874,-0.00113116,-0.002942996,-0.0006495209,-0.0015427884,0.0035797415,0.02120484,0.0443483002,0.0339206387
-0.0001000318,0.0008356879,-0.0007407258,0.0015965984,-0.0003597271,-0.0005913411,-0.0006394851,0.0152082988,0.0160320734,0.0066323158
0,0,0,0,0,0,0,-0.0072914796,-0.018749436,-0.0171060823
0,0,0,0,0,0,0,0.0053570932,-0.0045030236,0.000275606
0,3.09823065516957E-05,0.0007407258,0.0006125173,0.0010023433,0.0010910785,-0.0003369497,-0.0158096858,-0.0010106606,0.0110796557
0.0003000288,-0.0018858875,-0.0002117649,0.001751104,0.0005589245,9.07996084488141E-05,0.0013126282,-0.0487159474,-0.0547508233,-0.0650485784
-0.0014353542,-0.0024302712,-0.0033392562,-0.0062218556,-0.0010217887,-0.0045175247,-0.0013463376,0.0083764086,0.001882788,-0.0027668037
-0.000803194,-0.0021726244,-0.0013983574,0.0002884994,-0.0006709921,-0.0005507857,-0.0014181608,-0.0182771675,-0.0146392178,-0.0348261201
0.0011040113,0.0028787695,0.0031526597,-0.0027692406,0.0029391417,0.0007342258,0.0017551367,-0.017096906,-0.0319714933,-0.0316503784
0,0,0,0,0,0,0,-0.004598729,0.0038735319,0.0023730405
0,0,0,0,0,0,0,-0.0185766829,-0.009382742,-0.0193262093
0.0007678058,0.0011691959,0.0017967187,0.0022333073,0.0013044979,0.0009160402,0.0015802937,0.0099415922,-0.0060553271,0.003157878
0.0005000127,-0.0014149419,-0.0012690432,0.0032057448,-0.0008097008,0.0002287085,-0.0012435791,-0.0095562702,-0.0195955561,-0.0158129407
0.0001998447,0.0044448438,0.0033923907,0.0019203053,0.000747997,0.0030985364,0.0056513419,1.95190724379557E-05,-0.0112842856,0.0018188255
6.65947284765618E-05,-0.0008059139,-0.0032867787,-0.0017974793,-0.0001302919,-0.0024587927,0.0001660845,0.0148718661,-0.0159453679,0.0015762466
-0.0015342578,0.0025779759,0.0016226096,-0.0002866488,0.0001919957,0.0005019955,0.0006637037,0.0206790563,0.0479424481,0.0144416529
0,0,0,0,0,0,0,0.0188994674,0.0134148325,-0.0099153373
0,0,0,0,0,0,0,-0.0215816098,-0.0341276272,-0.0383378715
0,0.000093467,-0.0005650737,0.0013088574,-0.0008852584,-0.0003193845,-0.0014614895,-9.99957003207262E-05,-0.0014409972,-0.0071936408
-0.0010035324,-0.0007160669,-0.0021827428,-4.08422144674307E-05,-0.0002817395,-0.0029769841,-0.0032729207,0.0035030117,-0.0044457674,-0.0018383839
0.0001004599,-3.11065775230437E-05,-0.0008069456,0.0010198997,0.0002473908,-0.0004598142,0.0003351038,-0.0476049806,-0.0512421231,-0.0512571809
0.0008696584,0.0017766405,0.0019673623,-0.0006524587,0.0005766978,0.0016530578,-0.0042413223,0.000666096,-0.0025124775,-0.0044213262
